feature,mean_shap,importance,correlation,direction,proposed_strategy,from_value,to_value,rank
womens,-0.0008412494993028006,0.043011501813831246,0.906298266596442,Positive,Modify womens from 0.0 to 1.0,0.0,1.0,1
mens,0.000738152006893944,0.0022842652118946543,0.32713651848353786,Positive,Modify mens from 0.0 to 1.0,0.0,1.0,2
zip_code_Surburban,2.1027576534235385e-05,0.004548776478597528,0.294830901875125,Positive,Modify zip_code_Surburban from 0.0 to 1.0,0.0,1.0,3
zip_code_Urban,4.987682038775352e-06,0.0007350340268376492,0.2761246945112678,Positive,Modify zip_code_Urban from 0.0 to 1.0,0.0,1.0,4
newbie,-0.00025927421095745407,0.003244478071492972,0.23822299314574,Positive,Modify newbie from 0.0 to 1.0,0.0,1.0,5
channel_Web,1.607154941567953e-05,0.0006819896095977604,0.21784680285128374,Positive,Modify channel_Web from 0.0 to 1.0,0.0,1.0,6
history_segment,3.623821640451758e-05,0.000576551127665934,0.20475659000229504,Positive,Modify history_segment from 50.0 to 1000.0,50.0,1000.0,7
zip_code_Rural,-3.3132527358802738e-06,0.0017544374020971526,0.1652160787911394,Positive,Modify zip_code_Rural from 0.0 to 1.0,0.0,1.0,8
recency,-0.001576178015334878,0.01249533836225685,0.15476202902157563,Positive,Increase recency by 9.00 for values below 2.00,1.0,10.0,9
channel_Multichannel,-0.0011279975320354725,0.0033143185072861676,0.05445873492880121,Positive,Modify channel_Multichannel from 0.0 to 1.0,0.0,1.0,10
history,0.0030865534243627217,0.02234074189532281,-0.13063615772835116,Negative,Decrease history by 528.14 for values above 382.00,558.1300000000001,29.99,11
channel_Phone,-9.501794528328347e-05,0.0016822140056744115,-0.27281741571342977,Negative,Modify channel_Phone from 1.0 to 0.0,1.0,0.0,12
