feature,mean_shap,importance,correlation,direction,proposed_strategy,from_value,to_value,rank
womens,-0.005407468667985075,0.09435563225610788,0.9208587824720497,Positive,Modify womens from 0.0 to 1.0,0.0,1.0,1
mens,-0.002138965482557917,0.05255536886324048,0.8888638127190749,Positive,Modify mens from 0.0 to 1.0,0.0,1.0,2
zip_code_Surburban,0.0009307333564674715,0.041038197858305474,0.8482263314427504,Positive,Modify zip_code_Surburban from 0.0 to 1.0,0.0,1.0,3
zip_code_Rural,-0.0041984687595570955,0.03197445341706933,0.8122023798169551,Positive,Modify zip_code_Rural from 0.0 to 1.0,0.0,1.0,4
history_segment,-0.015864192776632376,0.03126314058811882,0.8046671344538336,Positive,Modify history_segment from 50.0 to 1000.0,50.0,1000.0,5
channel_Web,0.0005560598722921419,0.03994192473201123,0.8020731206818749,Positive,Modify channel_Web from 0.0 to 1.0,0.0,1.0,6
newbie,-0.010441925422259742,0.04341169909626751,0.5951758176881843,Positive,Modify newbie from 0.0 to 1.0,0.0,1.0,7
zip_code_Urban,0.002596439997831673,0.025529398390796973,0.5278025432955777,Positive,Modify zip_code_Urban from 0.0 to 1.0,0.0,1.0,8
recency,-0.008661896767845297,0.02352536624765218,0.10537703879451467,Positive,Increase recency by 9.00 for values below 2.00,1.0,10.0,9
channel_Multichannel,0.015256686227507156,0.03324082964161322,-0.45040360706282395,Negative,Modify channel_Multichannel from 1.0 to 0.0,1.0,0.0,10
history,0.0067930700854646284,0.02229008504024932,-0.49646933641470015,Negative,Decrease history by 514.22 for values above 359.02,544.207,29.99,11
channel_Phone,-0.0011597218554163166,0.033864622298149065,-0.5944467635206897,Negative,Modify channel_Phone from 1.0 to 0.0,1.0,0.0,12
