dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,lgbm,recency,0.07,0.044386732617448084,123,0.3829046563192905,0.3527272727272727,0.4655475182440404,0.41017873371705543,-0.13629565140203298,-0.028990072447466778,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.04541166857161915,123,0.401049519586105,0.29,0.4376492233863721,0.3910761154855643,-0.08968870097052306,0.016489293369988778,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.05796991366533205,123,0.4549223946784922,0.45121212121212123,0.472557745285018,0.47774952320406866,-0.06320775236084027,0.02793705114778872,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.059956808850987336,123,0.39566395663956644,0.24515151515151515,0.44776247894841625,0.3831899404367968,-0.09091842450438326,-0.013278620113316382,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.04862635757052108,123,0.4250406504065041,0.3996969696969697,0.4343160519043614,0.3725369458128079,-0.05579620453006135,0.037245401534346655,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.0444228246209855,123,0.4268662232076866,0.36363636363636365,0.4682824079425629,0.4004739336492891,-0.08464520814326185,0.0018128386735093982,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.05033162013330276,123,0.42283813747228394,0.31212121212121213,0.47266023823028935,0.4245847176079734,-0.09618695707992772,-0.0034572444360832164,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.048371145472964824,123,0.4117418083271742,0.2412121212121212,0.510430801948567,0.518205651034081,-0.14967175857411735,-0.047706228668668506,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.045970183174087145,123,0.40258930771125895,0.31545454545454543,0.4412408567907478,0.4314934155225553,-0.08844669539486548,0.011143597235887745,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.050038138247761585,123,0.4297511702389751,0.39545454545454545,0.4643358128599512,0.42861482381530985,-0.08165828004555964,0.012488994803607469,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.04863373180396204,123,0.4107711258930771,0.356969696969697,0.471386561889935,0.41702127659574467,-0.11111650990116084,-0.010114362092554965,0.056185482371355754
hillstrom,lgbm,recency,0.07,0.051859967829778544,123,0.3948238482384823,0.2693939393939394,0.44941710102256,0.39477977161500816,-0.09934598723556162,-0.009840518332593577,0.056185482371355754
