dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.06970534544501962,139,0.5449354801872789,0.5195767195767196,0.42763928392169986,0.3751937984496124,0.0910152397712202,0.14357715275993757,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.061787747467605604,139,0.5349016025275019,0.5523809523809524,0.422582597917087,0.3800801373783629,0.09111571756767606,0.1335222916531535,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.06765268568149094,139,0.5350157968863005,0.508994708994709,0.5480600190722086,0.5770964833183048,-0.03842863777374174,0.012340193401925876,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.07632563695247027,139,0.5047238399756385,0.4666666666666667,0.327912406916572,0.17543859649122806,0.1498723829850221,0.203750483133111,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.0674676841984296,139,0.5234212629896083,0.508994708994709,0.4597994177301674,0.3905031892274982,0.042033400141503544,0.08521029037737828,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.05176831748122443,139,0.5583114460812303,0.6,0.529535555229286,0.5863945578231292,0.007201251541654807,0.050350530162233786,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.06068317594537045,139,0.5877964295230482,0.6486772486772486,0.4970454171014334,0.6106870229007634,0.06977189588924003,0.11173012895398975,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.0637644645352177,139,0.5614327585550607,0.5544973544973545,0.4605239477436652,0.42591404746632455,0.07312073576682503,0.1286968858559659,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.05556361862847197,139,0.5752122111834341,0.6328042328042328,0.47915321187726234,0.5386221294363257,0.07341624033836586,0.11870175827397797,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.06178388020953701,139,0.5267861900955425,0.5216931216931217,0.4437437391858665,0.34810126582278483,0.06490983214091876,0.10117506967843347,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.06977339416237094,139,0.5702333371398121,0.6042328042328042,0.5539996255783477,0.5947955390334573,-0.009758848673548197,0.04222627179647665,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.07886823345937431,139,0.5575349244413992,0.5830687830687831,0.47313132544811604,0.4110169491525424,0.05912173251596428,0.1096854654706021,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.07228580272743179,139,0.5183738723307069,0.49206349206349204,0.44704334093700643,0.36585365853658536,0.04763748281826203,0.09502357996913871,0.06136241235788844
hillstrom,uplift_rf,zip_code_Surburban,0.02,0.06825639017228448,139,0.5456054204255641,0.526984126984127,0.4857307524146429,0.38950276243093923,0.03886088075119258,0.08088845527065032,0.06136241235788844
